city,month,mean_daily_max_uvi_clim
Adelaide,1,11.607634408602152
Adelaide,2,10.721707717569785
Adelaide,3,8.027849462365593
Adelaide,4,5.083666666666667
Adelaide,5,2.8618279569892473
Adelaide,6,2.013666666666667
Adelaide,7,2.2401075268817205
Adelaide,8,3.336451612903226
Adelaide,9,5.196888888888889
Adelaide,10,7.55752688172043
Adelaide,11,9.44111111111111
Adelaide,12,11.264193548387098
Brisbane,1,12.89483870967742
Brisbane,2,12.000094417077174
Brisbane,3,9.782903225806452
Brisbane,4,7.208888888888889
Brisbane,5,4.559569892473118
Brisbane,6,3.630333333333333
Brisbane,7,3.6886344086021503
Brisbane,8,5.16505376344086
Brisbane,9,7.136444444444444
Brisbane,10,8.960430107526882
Brisbane,11,10.426444444444444
Brisbane,12,11.966989247311828
Canberra,1,11.467741935483872
Canberra,2,10.448994252873563
Canberra,3,7.721397849462366
Canberra,4,4.862444444444445
Canberra,5,2.7851612903225806
Canberra,6,1.978777777777778
Canberra,7,2.209892473118279
Canberra,8,3.262903225806452
Canberra,9,5.152888888888889
Canberra,10,7.094193548387096
Canberra,11,9.018
Canberra,12,10.870860215053762
Darwin,1,12.685806451612905
Darwin,2,12.964166666666666
Darwin,3,13.880322580645162
Darwin,4,11.603333333333333
Darwin,5,8.720215053763441
Darwin,6,7.79311111111111
Darwin,7,8.26989247311828
Darwin,8,10.323118279569892
Darwin,9,12.283888888888889
Darwin,10,12.581182795698924
Darwin,11,12.689777777777778
Darwin,12,12.927956989247312
Hobart,1,10.318387096774194
Hobart,2,8.676018062397373
Hobart,3,6.138924731182796
Hobart,4,3.308222222222222
Hobart,5,1.56494623655914
Hobart,6,0.9775555555555556
Hobart,7,1.1418279569892473
Hobart,8,2.0038709677419355
Hobart,9,3.578888888888889
Hobart,10,5.630322580645161
Hobart,11,7.946666666666666
Hobart,12,10.55537634408602
Melbourne,1,10.545913978494623
Melbourne,2,9.518021346469622
Melbourne,3,7.1624731182795704
Melbourne,4,4.303555555555556
Melbourne,5,2.4051612903225803
Melbourne,6,1.7240000000000002
Melbourne,7,1.7629032258064516
Melbourne,8,2.875806451612903
Melbourne,9,4.568555555555555
Melbourne,10,6.571290322580645
Melbourne,11,8.658
Melbourne,12,10.279677419354838
Perth,1,12.23247311827957
Perth,2,11.534823481116584
Perth,3,9.360537634408603
Perth,4,6.166
Perth,5,3.6882795698924737
Perth,6,2.812666666666667
Perth,7,3.0883870967741935
Perth,8,4.344838709677419
Perth,9,6.375555555555555
Perth,10,8.696344086021504
Perth,11,10.655
Perth,12,12.070860215053765
Sydney,1,11.679784946236559
Sydney,2,10.551966338259442
Sydney,3,8.008387096774193
Sydney,4,5.283777777777778
Sydney,5,3.114408602150538
Sydney,6,2.2235555555555555
Sydney,7,2.4854838709677423
Sydney,8,3.680967741935484
Sydney,9,5.517555555555556
Sydney,10,7.840322580645162
Sydney,11,9.423666666666668
Sydney,12,10.965806451612904
